Username,Title,Content,Rating,Date
Charles R,Worst service of any car company,I have a Model 3 It is without question the best car I've ever owned But then it needed service and Tesla's service system is SO AWFUL that it truly ruins the entire experience It's not just slow it how rudely customers are treated and how they hide behind a mask of technology It is impossible to speak to a human and their text messaging system usually just involves repeated canned answers They constantly reschedule try to blame me for not responding even at one point blamed me for rescheduling when it was their system Tesla how can you treat customers like this And how can you not have a person available to resolve matters when you buggy computer system fails,1,2024-07-19
Holly,Can't get ownership transferred,Can't get ownership on my Tesla transferred going on 5 weeks Previous owners transferred ownership and removed themselves Tried the app and there's a glitch and it won't complete because it says to connect the car to the internet which it is as indicated by the green check Told to wait 5 days just for an email took over a week Uploaded the required documents and told to wait another 5 days It's now past that and still nothing,1,2024-04-28
Mark,Tesla Model 3 2021,Tesla Model 3 2021 battery failed after 17900 miles still under warranty warning alert that max charge and range maybe reduced ok to drive book service soon Booked service request told wating for parts 1 month later still waiting for parts which turns out to be a new HV battery pack Max charge dropped to 70 then 39 and refusing to charge car unusable and been unable to use for work and need a car to get to the airport in 2 weeks Trying to sort a loan car from Tesla but no one cares no service or support Given run around through endless telephone menus Shocking Given the issues we've had with the 3 Tesla's the business purchased we won't be buying new Tesla's when the lease is up in a years' time unless they do something amazing to sort out this mess Shouldn't expect this after only 17k miles but apparently reading online a widespread problem,1,2024-06-28
Anthony Kenny,Customer service is an Oxymoron,Tried to contact their customer service multiple times for a Powerwall after 2 calls of over 1 hours on hold I gave up Customer service is non existent I'm sure I'm not the only one as well with over two thousand reviews and 73 being 1 star,1,2024-08-21
Kevin Houle,Service process and reschedules are horrible,First off the quality of this vehicle is way behind the Big Three in the US Delivered with hidden issues like a loose nut that rolls from side to side and a rip in the lower part of the dash that wasn't seen until a week in Scheduling service has been miserable appointments get rescheduled every time so far now from January 4 times out to July 8th This is horrible,1,2024-05-25
Farshad Khatabi,Mr Musk asking people for money like a,Mr Musk asking people for money like a begger by investing in her Plattform After I signed up to get information for investment I found out that his concentration is on investing in Crypto coins and oil companies which all are anti environment All of what he told about green energy new environmental solar panel and etc was a big lie His social credit is minus zero to me,1,2024-05-20
Duncan,I'll never use another Tesla product,I'll never use another Tesla product again in my life I've used Tesla Solar City solar panels on my home since late 2017 In mid 2024 my roof suffered extensive damage due to high winds and hail So I had Tesla remove my solar panels prior to the roof being repaired It cost 1 640 00 to have Tesla remove my solar panels I was informed that the cost of 1 640 00 was the total cost to have the solar panels removed and replaced But after my solar panels had been removed which was unavoidable only then was I informed that it would cost me 4 160 00 out of pocket to have the solar panels reinstalled on my roof I find that to be deeply dishonest It reminds me of what scam artists do Paying customers should be informed up front as to all costs incurred in a transaction Tesla did not inform me of the total cost until after my solar panels had been removed Tesla lost a customer For life By the way since I had the solar panels installed Solar City was bought out by Tesla the customer service phone number ceased to exist and all ALL communication with Tesla had to be done via an online chat through Tesla's website That meant you had to be stuck at your desk for upwards of half an hour while the Tesla employee took minutes to respond to each inquiry I typed in Now even the website online chat is gone and a customer has to download a Tesla app onto his or her phone just to communicate with someone at the company but still only via chat People use solar panels to save money Tesla apparently doesn t agree,1,2024-10-24
Steven R Davison,Tesla is the Best Car I've Owned,I'm 72 and I bought my first Tesla 18 months ago I absolutely love my Model 3 Performance Over the years I've had several high performance cars but this one is by far my favorite It's so much fun to drive and much more practical than all the other cars I've owned Love that I can charge it in my garage while I sleep at about one third the cost of gas Love that with over the air updates the car keeps improving Love that it can drive itself Etc etc etc My wife was meh when I bought the car but now she drives it whenever I don't need it and her car remains parked Tesla's are leading the car market into the future,5,2024-07-28
Roy Foo,Non existent support extremely long wait time,Very long wait time Service and customer support will give many reasons why the vehicle is normal and do not need repair Phone agent will get you to other departments to get you off the phone The support is basically non existent It is painful to get problems resolved,1,2024-07-12
Doug B,Service a China company on Amazon would be proud of,Our car has been in the Tesla shop for over a month and counting They do not communicate they do not have consistent answers on status when you drive there to get a response This company is brutal on customer service You could not provide a more incompetent and infuriating experience if you tried If i did not know better I would think i was on candid camera Please do not buy a Tesla if Elon knows the S is going on shame on him,1,2024-07-30
Niki Knopf,I will never buy another Tesla because,I will never buy another Tesla because they have the worst customer service I ve ever experienced After my car would not start and I called their roadside assistance to get to an operator they told me they could not help me and the best I could do is call 911 Every service agent treats you like a number You can only talk to them via an app They don t care Highly recommend buying a different car,1,2024-07-01
