Username,Title,Content,Rating,Date,Sentiment_TextBlob,Sentiment_VADER
Travis Gerlach,Customer service,Customer service terrible Quality terrible I got a crack in my roof and have no idea how it happened Also the paint chips way too easily Self drive used to be amazing but now it beeps and shuts off every time you look the other way for 2 seconds completely defeats the purpose of self drive Price I payed 70k for my Tesla model Y in 2022 and now the prices have dropped drastically and there is nothing I can do to get some of that money back,1,2024-05-29,-0.14166666666666666,-0.611
FC,Expect zero customer service,Expect zero customer service You will be pushed to a bot that does not understand your question and will not get you to a human to talk to Good luck ever getting a hold of a finance or warranty person,1,2024-06-13,0.35,0.7096
Behxhet Hajdini,This is disgusting the way they,This is disgusting the way they advertise mileage is not even close to the estimated mileage lie lie lie in the long range 331 mileage you'll do less then 200 miles Big mistake bought tesla And the customer service is nutcase,1,2024-06-28,-0.3041666666666667,-0.7003
Balbir Bagri,Their customer service is the worst I,Their customer service is the worst I have dealt with as I have had many new cars and I can say the experience of picking up a new Tesla is the worst I noticed an issue and because it is over the week you have they don't want to know and trying to get hold of them is extremely hardWhen my car comes up for renewal I will not be thinking of another Tesla and definitely would not recommend,1,2024-05-24,-0.19318181818181818,-0.833
JB,Customer service is terrible,Customer service is terrible No direct line to service centreEach message you send will be answered within 48 hoursCustomer service line not helpful at allThe vehicles are great but I wouldn t get one again because of the service,1,2024-06-11,-0.08333333333333333,-0.194
Alex Zachariou,Tesla nice car poor customer service,I was looking forward to getting a Tesla but the customer service experience is terrible Everything is done through the app If you ask a question good luck getting an answer I canceled my order because of the poor customer service,1,2024-06-15,-0.23333333333333336,-0.1154
Marlo weber,Not satisfied with Tesla,I bought tesla car in 2023 and yet there is not delivery time it's more than 9 months now I paid them all the amount and now there customer support is not even responding to mails I bought the car because of Elon Musk but now feeling regret that I bought it,2,2024-05-08,0.5,-0.2732
,Unbelievable bad customer service,Unbelievable bad customer service I have already placed an order in Greece and I can t find anyone at the phone It s not possible a company like Tesla has this bad service So disappointing,1,2024-06-28,-0.4499999999999999,-0.8324
Munawar Khan,Crappy customer service they should,Crappy customer service they should only operate in china,1,2024-11-04,0.0,-0.5574
Elina Krasnova,Pick up location was terrible,Pick up location was terrible They been running with more than 1 hour delay but notification wasn't send Emploe also ignore pick up customers They just been intrested in new customers to sell a car's,1,2024-05-04,-0.12121212121212122,-0.714
Gene G,After six months of driving a model Y,After six months of driving a model Y the thread on the tire is falling apart Tesla has not provided any information with regard to the tire warranty and says that they can t do anything about it,1,2024-06-11,0.0,-0.1531
Jamie Griffith,I'm on my 3rd Tesla and love it dearly,I'm on my 3rd Tesla and love it dearly It's a love h8 situation The power and tech are unmatched However the build quality and service from Tesla STILL leave a lot to be desired They try kinda They fix things kinda Still can't take away my Tesla,4,2024-09-20,0.3333333333333333,0.8442
Luis Pedroso,Sales team in Portugal are not,Sales team in Portugal are not professionals They don't answer the phone or emails The delivery advisor does not know what he is doing My purchase of a new car became a nightmare,1,2024-05-03,0.13636363636363635,0.0
steven hill,I recently purchased a Tesla Model Y,I recently purchased a Tesla Model Y for 37 000 which came to a total of 44 000 including Vat with a 3 600 deposit and monthly payments of 299 Excited for the delivery which was estimated to be a couple of weeks away I received a notification asking me to accept a change to the vehicle the removal of ultrasonic parking sensors in favor of cameras I accepted as there was no indication this would affect the price and there was no other option to proceed A week after that I received an invoice showing the vehicle now cost 2 000 more and my monthly payment had skyrocketed to 683 I immediately contacted Tesla only to be told that the original deal was no longer available as I hadn t picked up the car the previous month The representative suggested I purchase a different car or cancel the order entirely but I wasn t looking for a new deal I simply wanted the car I had already signed for at the agreed price Tesla s response was dismissive and unhelpful offering me no resolution other than a refund The lack of transparency unexpected price hike and poor customer service were incredibly disappointing I no longer trust Tesla to honor their commitments or provide a straightforward purchasing,1,2024-10-05,0.05734427609427609,-0.9088
RB,Avoid the Tesla brand Reviews tell the story,You are left in need of a straight jacket after having need of a Tesla part I have been waiting two months They keep moving the date Expect no human contact for help after your purchase 0 10 for customer serviceElon Musk has lost the plot people please stop lining his pocket with your hard earned money and buy another make The Tesla drive is not worth your sanity,1,2024-04-26,-0.04833333333333333,-0.2182
Hu,Frustrating Experience,I recently had a frustrating experience with Tesla service After booking a back glass replacement a month in advance I traveled two hours and booked a hotel only to be told at 6 pm the night before that my car couldn t be serviced the next morning I was advised to reschedule in two weeks closer to my house with no guarantee it wouldn t happen again While the staff was polite there was no flexibility on a resolution beyond there s nothing we can do and we didn t make you book the hotel which is true But the lack of alternatives especially after spending significant money on prior services was disappointing For a company like Tesla I expected more reliability and consideration for customer investment I would love for Tesla to handle this service and all future services but currently considering other options I m used to traditional dealership service from Toyota but not sure if I want to continue paying what seems to be the traditional dealership premium while receiving less than dealership quality service,2,2024-09-18,0.0041666666666666675,0.3537
Carolyn,Service Experience,The people processes and technology are not coordinated and consistent There was a warning in the app to have y 12V battery replaced but otherwise the car was working great Since it was a warning I made an appointment when it was convenient That appointment got moved and cancelled a couple times without explanation One time less than a couple hours before the mobile service team was scheduled to arrive When I called the representative explained that they did not have mobile service in NY for what needed to be done That was a waste of 2 days I got in touch with the Mt Kisco Service center and I was able to bring my car in that afternoon Not sure why anyone would use the app it is terrible But it gets better my 12V battery was replaced only to have it die 2 weeks later I had to have the car towed to Mt Kisco and they gave me an estimated time to repair 5 days out and then the afternoon I was to pick up my car moved that another 3 days with no explanation No one answers in the Tesla app and I have been on hold for more than 3 hours over the course of the last 5 days I do have to say the people that answer the phone are great but unfortunately have no way to help customers,1,2024-09-03,0.07555555555555557,-0.823
Sharon Beecher,Worst customer service,We have leased two Teslas over the past 5 years The customer service on this current one has been horrific We picked up the car on March 30 and never received the plates We sent multiple emails over the last 3 months to people who we were in touch with prior to our purchase so they were valid emails to a variety of people and never received a response Finally we were able to get in touch with someone who said apparently an email was sent but for some reason it did not go through We were then told that the plates were delivered on 4 16 and it was no longer their responsibility and we would have to contact the DMV to report stolen lost plates We never received the plates they have no proof it was delivered and they are unwilling to help us get this resolved The lease cannot be over fast enough This will be our last Tesla,1,2024-06-26,-0.041666666666666664,-0.8654
Daniel,Do not lease cars from Tesla,I leased a Tesla Model 3 Long Range AWD for three years from 2021 to 2024 The process to return the vehicle at the end of the lease is stress inducing and extremely disorganised as well as specifically structured to rinse you of every penny they can I returned my vehicle to Leeds Tesla Showroom where I was made to wait over 30 minutes despite having a booked appointment for weeks The salesperson Awais was condescending and rude Prior to the appointment you are required to use the app to take countless photos of your vehicle for prior inspection which took hours The outcome was there was no damage to the car and no additional charges to pay Then at the time of dropping off the car Awais spent ages walking round every panel of the vehicle pointing out minor blemishes that were obviously just standard wear and tear for 3 years of use Awais could not tell me how much I would be charged because the info has to be sent to head office but forced me to sign paperwork to say I would accept the charges despite not knowing what they were and how this would impact me at a time of increased cost of living Later an email informed me they were a staggering 800 despite being so minor that the photos didn't bring them to light The treatment of customers by Tesla has dropped off dramatically and I would strongly recommend any driver to seek out a car from a more caring and less ruthless manufacturer at all costs,1,2024-08-26,-0.04041666666666667,0.8335
Anna Wyborska,Avoid them,The car is ok but the customer service is disaster I can t get my deposit back for over a month now and every day I hear it should be with you now So if you get a problem with your car purchase or delivery time just forget that someone will help you with it,1,2024-05-09,0.25,-0.8126
david deitch,Tesla Does Not Value Its Customers,Love both of my Teslas but despise their pretentious inept dis service team who quite obviously follow marching orders from misdirected managers attempting to monetize off of slow haphazard response time to legitimate concerns Sorry to report they re inefficient lackluster attention to customer satisfaction will end up being Tesla s loss in the end Suggest you stay clear I know we will down the proverbial road,1,2024-08-08,-0.15694444444444444,0.1901
Stevie Beare,Great if you want to fund far right,Great if you want to fund far right white supremacy,1,2024-11-07,0.29642857142857143,0.6808
MK,Bait and switch car manufacturer,I got my brand new model 3 in 2020 and it was great Then the problems start You can't book a service job quickly delays are terrible Then you don't get your car back for weeks My 4 year old warranty just expired and there were quite a few issues driver seat and aircon Booked it in drive away take it to the car wash put it in car wash mode go through the car wash and a torrent of water comes out under the glovebox on the passenger side I never had this before so it has to be the fact that they did something with the aircon ventilators They now tell me I have to go back through another service booking which will take several more weeks I previously owned a Volkswagen and I could get an engineer to look at my car the next day I'll be going back to them after this car,1,2024-06-24,0.0386946386946387,-0.1779
Rob Gill,Terrible experience,Terrible experience I bought a new top of the range Model S Plaid that was delivered with several obvious faults which should have been corrected pre delivery Scratch on phone holder trim coming off boot lid poorly fitted The delivery rep said No problem just use the app to request service and it'll all be fixed Well it's now several months later and I am still without a car It was finally collected to be repaired almost 2 months ago and has been sitting in the same spot in the Tesla Chelmsford car park since then not moved once I can see the location on the app They haven't fixed the major issues and I have been completely ignored on the app message system for 7 weeks I have called many times it's impossible to speak to anyone except call center staff who always promise to sort it out then never do Absolute shambles I was a huge Tesla fan before this this is my 4th Tesla and I own TSLA stock yet this experience has soured me to the brand and I will soon sell I support the mission have spent hundreds of thousands on Tesla cars invested my hard earned cash in the stock yet I am treated with absolute contempt by the useless UK team Extremely disappointing,1,2024-04-26,-0.0407488344988345,-0.7599
david,Untrustworthy and Immoral Company,Untrustworthy and Immoral Company The product is not very good at all in fact its awfull MR MUSK I Hope the share price does nt drop yet again,1,2024-08-08,-0.26923076923076916,-0.3865
Debbie DiTomasso,Whenever I have an issue or problem,Whenever I have an issue or problem with my Tesla I go to Tesla at the Christiana Mall for help They are so very helpful and pleasant and solve our problems Today Erica helped us and she was the best I would be loss if they were not there Debbie DiTomasso,5,2024-04-20,0.6444444444444445,0.8375
Michelle Francis,If I could give this company 0 stars I,If I could give this company 0 stars I would The customer service is appalling don t want to help and completely fob you off If you re thinking of buying or leasing a Tesla please think twice They really are the worst company to deal with,1,2024-06-25,-0.2625,-0.3744
Joel Binn,Was trying to buy a tesla,Was trying to buy a tesla Was on hold for over 1 hour Tried several more times with no success Bought on line with my questions unanswered figured I won't pay if they won't help me when I go pick it up Getting there to get the car people are friendly agree phone support sucks but no way to fix it But even at the place I waited hours they are very understaffed This is greed to be understaffed in my opinion,1,2024-06-03,0.075,-0.6954
Silvia Chinchilla,I went to tesla burbank ca dealer to,I went to tesla burbank ca dealer to buy Y model testa I apply to purchase one they told Y model was running a promotion for low rate A P R 0 99 interest I got good credit I paid 250 to order the car I waited couple days my app said complete approved but My order was not approved to pick up my car I had a delivering waiting for me never happen I stopped to dealership again to see what happen they said my application was not being approved I asked why they didn't have a answer I told them my credit is over 786 score they told me they will summit my application to other banks soonest I walked out 1 hrs later chase calls me said tesla has just send my application so my application was never beind sent no where than Monday Capitol Bank approved me for high rate 8 25 I got very upset cause I wasted my time plus they told to get co signer I told them I don't need co signer I had got cars on the past with 0 down payment I told them to cancel my order and they said I will loose 250 for what I paid this send time loosing total 500 now they said not refundable bad service no o e to talk about the problem the phone numbers no one answer Mail box full only answering service very bad tesla will get sue for fake advertising,1,2024-05-22,-0.08279286073403719,-0.9626
Yerjanik Cuellar,Tesla lost its respect to the customers,Experiencing the bitter bite of Tesla's discount department it's clear that unexpected charges heartache are becoming the norm for us the consumers On May 17 2024 I decided to return my leased vehicle excited to purchase a new one Little did I know a hefty bill of 4500 was lurking around the corner landing in my inbox just four days later No prior warning no explanation just a cold robotic response It's as if the human element the very essence of customer service has been completely replaced by algorithms Transparency once a cornerstone of Tesla's brand now seems to be lost amidst the shuffle of layoffs and restructuring Where is the service that was once promised Where is the respect for the customer that was once a priority It's disheartening to see a brand I once admired now seemingly indifferent to its customers' experiences It's high time Tesla revisits its commitment to transparency and customer service rather than leaving its customers in the dark grappling with unexpected charges Let's stand against these UnfairCharges Let's voice our TeslaTroubles Let's demand better CustomerServiceMatters,1,2024-05-23,0.06021464646464647,0.4829
o be one,ServiceCenters repair work near Montreal are terrible,Owner of a Tesla Model Y AWD since 2022 also share owner since 2019 Tesla is an amazing tech company Their electric car are easy to use comfortable imho beautiful and they have ton of modern tech I expected on my past Audi A4 Quattro 2018 full option While this is amazing ServiceCenters near Montreal are terrible Which is surprising has talking to them is easy Delivery was awful good experience at first but car was full of packaging waste with lot of misaligned parts we had to ask to fix While removing a packaging part they have degraded a part they had to order to change Then wireless phone charging was not working and we had to ask them 5 times to fix it They even asked for a proof while they usually don't but as we had lot of services requests because of all issues we had When they replaced the wireless phone charger they also broke a part and told nothing so we had again to ask for service Really you don't want to have to deal with Tesla ServiceCenter near Montreal or in Montreal They will always smile but work really badly Beside that the experience with Tesla where you don't require service is quite great Don't buy their winter tire they are not that good noisy but at least you can have rims for cheaper as a package and their rim are not much heavy which helps with range,3,2024-04-22,0.16172839506172845,0.653
Asatire,Don t Buy,Don t Buy Avoid at all costs Awful build park assist went faulty 3 times for me costing me over 1k to repair The car then stopped working all together Only 4 years old and I ve spent over 5k in repairs It s basically scrap now They won t take it in for repair or tell me what s wrong with it 30k piece of junk Horrible company,1,2024-06-05,-0.4166666666666667,-0.8834
Yasmin Denison,I am very disappointed with Tesla 'Customer Service',I am very disappointed with Tesla Customer Service I have had a few problems with my car and have had to ask them for help via text as there is no way of speaking to someone All they do when they do answer your message is refer you to the instructions Do they not think that you have already tried the instructions and are having difficulty The instructions are not always clear Sometimes a quick 5 minute phonecall with someone knowledgeable is all that is needed to solve problems It seems that once you have bought a very expensive car from them Customer Service is not important anymore so there are no phonecalls When I was buying the car many phonecalls were made to me to get the sale I wonder if the 'Customer Service' agents actually have much knowledge of the cars which would explain them just referring you to the instructions If that is the case then Tesla should train the agents on the workings of the cars so Customers can actually be helped,1,2024-05-27,-0.08916666666666666,-0.9206
Robert Stark,If you take a Tesla for a test drive I,If you take a Tesla for a test drive I suggest you read the small print There is a 2 500 excess on their insurance An accident could cost you dear,1,2024-09-11,-0.25,-0.128
Dagi Demeke,I got me a tesla,i got me a tesla and i love it,3,2024-11-21,0.5,0.6369
Olivia Mahfouz,Worst experience ever,Worst experience ever They don t care about you they don t follow their CONTRACT and they don t care about making the customer happy in fact they are rude Would not recommend a TESLA,1,2024-04-20,-0.16666666666666666,0.224
Jamie Downs,Why is s it so hard to speak to someone,I've had a Tesla for around a year and it recently started making clicking noise whilst accelerating as well as making a noise inside like the wind is blowing This is whilst stationary or moving It sounds like it is coming from the vent You can still hear it when the fans aircon is switched off I also needed to get some new tires due to uneven wear at the back Although the outside of the tires looked good The inside was down to the material Lucky I checked The above didn't bother me too much because the car is under warranty Not the tyres obviously I used the app to find a service centre and to my horror the nearest one was over an hour away I live in Oxford not a remote island in Scotland Who wants to drive for an hour to a garage There used to be one in Reading I got my tires elsewhere and decided to live with the windy interior and clicking noise Then over the weekend one of the updates failed I had no choice but get in touch with Tesla I raised a ticket and got a message saying they had reset something Now it gets stuck at 50 downloading the update I messaged back informing them of this I was told this would be sent to the technicians to troubleshoot Since then I've heard nothing It's been all day I've asked for updates but heard nothing In the meantime many of the features including FSD are not working and something is draining the battery My guess is it is continually trying to download the update I'd heard customer service was supposed to be good Why of why is it so hard to speak to someone any more Yes I know the answer Come on Tesla prove me wrong,1,2024-09-24,0.07913921826965303,0.528
Benjamin Tam,The Worst Customer Service Ever,I am getting more and more fed up with the customer support Roadside guy who changed my tire told me he was going to patch my tire so I went inside only to find out he charged me for a full tire replacement and said he never said that I referred a friend to get a Tesla before the deadline Her sales rep said I would get the referral points which my friend saved the emails and text messages I never did and when I went to the dealership they said I never qualified and I have to call customer support or that specific rep That specific rep now ghosts us and avoids us at all cost and I ve given up on the customer support line as I wait over forty minutes and every rep I ve gotten a hold of tells me I have to call back and speak to someone different Today my AC was blowing hot air and my thermometer started going up to 143 degrees it s Vegas but it s not that hot in Vegas so I knew something was wrong Fortunately it fixed itself but when I called customer support again I was on for forty minutes and the lady said it s the wrong department and that I should go in lice which is a far drive and it didn t help before or just call back I m pretty close to selling my car and getting something else and never using Tesla again if this terrible customer service keeps happening,1,2024-06-25,0.01764705882352943,0.7692
GR,Wasted my time,App not clear waited for the last moment to review documents wasted my time had to wait for a month for delivery then at the last day they wanted me to resubmit and start over due to an address issue,1,2024-07-01,-0.075,-0.658
Anon,Cancelled my model Y order without my,Cancelled my model Y order without my consent Then want to take up to 14 days to refund the deposit Not impressed,1,2024-07-02,-0.5,-0.602
Waheed Ahmed,Very very poor customer service and,Very very poor customer service and dishonest aswell I have requested price of Battery same battery I bought 2 months ago in 144 and they quoted again 144 but service centre guy charged me 170 takeup matter with them through app after wasting 3 days nothing happen,1,2024-08-19,-0.2733333333333334,-0.8514
Adrian Meneses,I purchased the auto steer function,I purchased the auto steer function about a week ago based on a friends recommendation I was not aware you had to use it in a certain way to comply with Telsa I was paused from using it for a week after a couple of days So I paid a little over 100 for something that I can not even use because I am not using it the way Tesla wants me to use it I called to get a refund and was denied one I would have never purchased this upgrade if I knew I had to use it a certain way Using auto steer while having my hands on the steering wheel and looking at traffic at all times completely defeats the purpose of why I purchased the upgrade I might as well drive the car myself I spoke very highly of Tesla before and recommended it to friends and family As a result of this experience I will do the opposite going forward When I called I was expecting to speak to people that would understand my situation that logically no one should pay for something they can not use If not then give me a refund Tesla should steal a page from successful companies like Amazon who practice TRUST with their consumers They accept returns all the time without hesistation because they understand the value behind customer loyalty based on amazing customer service I highly doubt Elon Musk would have approved of how my call was handdled today Rules exists but there is always exceptions Oh well the good thing is that other manufactures produce electric cars now Bye Telsa,1,2024-07-26,0.1456047619047619,0.9594
PHYLLIS PALINECKHOUSE,WORSE SERVICE EVER,I picked up my new Tesla Y last week and customer service was so bad All I can say is thank goodness I knew how to operate the car To make things even worse today I was charged for my old tesla They didn't even contact finance to inform them that I no longer am leasing the car When I attempted to get someone on the phone I couldn't I decided to stop by the Tesla dealership and was told they would take care of this for me WRONG I get a message saying I need to contact TESLA FINANCE However you can't get anyone on the phone They give you all these prompts and then tell you at the end to send an email to TESLA FINANCE So you pay all this money for a TESLA and can't speak with anyone If I could return the car I would immediately do so I will never be leasing or buying another TESLA If you are expecting service go elsewhere To make matters worse after being told that my 500 credit toward damages was enough they just told me that it's 560 00 Anything for another penny,1,2024-05-29,-0.22045454545454546,-0.917
John,Sitting here now in Tesla Dartford,Sitting here now in Tesla Dartford After waiting 2 months to replace two wheels due to pothole damage No ownership from any staff here Cannot engage in conversation Ignored me when I first arrived and didn t know where to sit Had to pay 2000 for a hire car because of the two month wait for repairs I would give them minus 10 if I could It s not about the car it s about the service Which is non existent Everything has to be done through an app I prefer to talk to someone surely as the paying customer I should choose how I communicate with them Wow Such a stupid approach to business They claim to be premium however they don t get it It s always about the service not about the car Two month wait for wheels at 2600 00 First and last Tesla Do not buy one You will regret it,1,2024-05-01,0.00833333333333334,-0.8242
Mohammed Mohammed,I have bought a brand new car and with,I have bought a brand new car and with in 8 months I have to take to the service centre for repairs In my both visit they don't have a parts such a big company and waiting the people to get parts delivered they really don't bother after they sold the car Very bad service,1,2024-06-04,-0.1147272727272727,-0.3567
Alen Oganov,Tesla insurance is the worst insurance,Tesla insurance is the worst insurance i ever had no one answers calls at the company i left over 10 voicemails to my claims adjuster she never calls back i email her never emails back i call straight to the company wait 1 hour hold no one answers i strongly recommend people not to get tesla insurance they are the worst company in the world,1,2024-10-01,-0.19523809523809524,-0.7964
Andrew M,Brilliant service,Just had excellent service from Tesla Guildford Highly recommended,5,2024-10-21,0.58,0.6997
Catherine Conlin,Tesla customer service is the worst,Tesla customer service is the worst Through the entire purchase process to now a month later every time I've tried to get in touch with Tesla for various problems created by them most recently with the new vehicle registration there was no way for me to get through to a live person without 1 pretending I was buying a new car and then waiting to see if a live person was available in delivery or 2 physically going to a dealer to talk in person All despite their pride in being a technologically advanced company that prides themselves on the latest app centered experience,1,2024-04-24,0.09610389610389611,-0.8091
Aaron Moeller,Great car up until your first flat tire,Great car up until your first flat tire Roadside service is a joke Car is not worth the inconveniences,1,2024-07-10,0.21875000000000003,0.6842
CD,If I could give a zero star I would,If I could give a zero star I would Horrible customer service they treat you like if you bought a car from a vending machine I would never get a Tesla again Don t have the time to deal with Tesla,1,2024-05-19,-1.0,0.1779
Brent Ballow,Worst car ever,Worst car ever I m forced to drive this piece of crap It runs all the time in Texas and never has enough juice Things fall apart like the mirrors No room in this car for anything My family hates this car and never wants to ride in it You can t use Waze and forced to use their stuff Stay away Far away,1,2024-08-03,-0.34285714285714286,-0.936
Raphael Joseph,Selling our Tesla ASAP regret buying,In summary I love the actual car Tesla Y I would say it is best car I have owned However there is a fundamental flaw in the entire Tesla business model and experience that in my opinion should stop anyone buying a Tesla I will certainly never buy one again and am going to sell my current one as a result The problem is that you are at the mercy of Tesla for your servicing parts and basically any issue you have If there happens to be an available person to fix your problem then great the service experience is quite good especially the mobile one However if there noone available this is where the gaping hole in their offering exists As an example the middle seat belt buckle in our car broke We regularly need to take three children in the back of the car After booking a mobile service for two weeks in advance it was cancelled by Tesla and then rebooked for 2 months later Obviously this was not an option as we can not have anyone especially kids in the back of the car with no seatbelt However there was no alternative I offered to drive a hundred miles to another service centre Not an option I offered to fit it myself Not an option No other garage could fix it so we were dependent on Tesla They would not agree to offering us a complimentary car in the meantime In the end after hours of calls with Tesla lovely customer service personnel it was agreed I could drive 45 minutes to a service centre first thing in the morning and they would fix it I had to take half a day off work last minute and change all plans Suffice to say we need to sell our car quickly before something else goes wrong as we cannot be left in this situation again Such a shame but until this situation changes Tesla is unfortunately not a car company I could recommend to anyone in the UK,1,2024-07-06,0.17073412698412696,0.7172
Adam,Non existent customer service,Bought a new Tesla to find out I was charged 900 for delivery that I have to drive 2 hours to pick up the car and a call centre that takes an hour to get through to So far not a great experience,1,2024-05-20,-0.05454545454545456,-0.6242
Myles McHugh,Staff are rude and unhelpful Awful customers service Con artists,Staff are rude cut throat and unhelpful If you want to pay a good amount for a car then be treated like a piece of dirt buy a car from Auckland Tesla I paid for the black paint within 10 days the car was covered in chips bonnet doors front of car The paint is awful very thin and does not withhold any impact Tesla don t care they take your money say its not covered under warranty then dismiss you I raised a complaint and was told it was being investigated After not hearing anything back for 3 months I called back and dealt with the obnoxious assistant manager in Auckland He repeated what was on the notes from 3 months ago and no further investigation had been done I contacted an independent paint specialist and they said the paint on Tesla s is extremely thin and poor with many customers having the same issues since production was moved to China They advised me that many people are paying over 8k to have their car fully wrapped from new which completely defeats the purpose of paying extra money to have the car in a different colour In addition I had a rattle in the inside of the car from new I m now approaching my 3rd time having to drive from Tauranga to Hamilton to get it fixed but this time I need to wait over 40 days to get it fixed Do not buy Tesla unless you live close to a service centre it s extremely inconvenient when things go wrong You are expected to drive to Auckland or Hamilton to get anything done I was also mis sold the car under the premise of getting the clean car rebate on the website when you buy the car it told you under the finance section that the 7k incentive was discounted from the car However I never got this as I purchased in November and received the car in March Post purchasing the car they knocked the prices down by 7k in March When I discussed this with the manager the basically told me that it never displayed this on the website I have screenshots that I signed the purchase agreement and basically tough luck we reduced the price and you missed out The car is a dream to drive and lovely inside had I not been treated like dirt and had received some kind of human customer service experience post buying the car I would have probably been happy But based on the Auckland Tesla experience I will never buy a Tesla product again Now time to sell my shares I think,1,2024-08-30,-0.0044386724386724415,0.8507
Edidiong Michael,model S rides are the best,A friend of mine bought a model S ride it was awesome indeed,4,2024-06-25,1.0,0.8074
Timo,Great car appalling service,Tesla make great cars I love mine I am into EV and was really on their side so should be easy to please right but the experience has gone severely downhill since I needed to use Northampton Tesla for basic warranty issues They lied about fixing the issues something they regularly do according to Google reviews damaged my car further then after making all the apologies and promising to put it all right the gibberish talking service manager now said they arent going to do any of it and without reason even though it was agreed and booked in to be done Shame on you Northampton Tesla your service side needs some competent staff and the service manager is offensively poor at her job She doesn't understand that when all the same model car have the same visible easy to prove issue it is a blatant design fault and that if they damage something they should put it right they admitted it and promised they would too New damage every time they have it and the old issues left This time some hazing on the paint the service manager said they didn't touch it well how did they clean the car without touching it must be some kind of magic maybe the same magic they use to check steering components they drove it a bit and apparently that's enough to know what an appalling way to conduct business this is people's safety we are talking about too now I have tried to raise this with Tesla UK they don't even reply not even to subject access requests so they shall be reported to the data protection commissioner for that I'm not putting up with it any more I gave them the benefit of the doubt before now I've had enough of being messed around If they don't put this right which it looks like they aren't going to do I will persue it further and won't buy Tesla again and shall make sure I let as many people know of my experience as possible to save them the same fate You can't trust their work or their word they just take your money and the rest is smoke and mirrors Seriously be warned BYD shall evertake Tesla within the next few years by the look of it maybe that's where I shall go next with the rest of their cheesd off customers,2,2024-07-22,0.15506081220366935,-0.9098
Eric Hoerdemann,I have gone from Tesla's biggest fan to neutral to negative,I have owned a Tesla for several years Over time I have gone from Tesla's biggest fan to neutral to now negative The battery mileage has fallen dramatically over the course of the last 1 2 years and the car has become increasingly glitchy over time Most troubling was a glitch that resulted in the car being unable to charge while I was on a trip and was far from my home The final straw for me however is my inability to get anyone on the phone from Tesla sales Given my very positive experience with Tesla in the first year of ownership I thought perhaps the issues I was experiencing were related to the age of the car and a smaller battery I decided I would give Tesla another try and responding to one of the promotions they sent me I attempted to buy another Tesla upgrading to a higher battery capacity I was unable to purchase the car online due to a fault in the Tesla web site despite being a current owner the system had me in the wrong state and associated my account with another order I never made preventing from placing an order I also needed to speak to someone briefly for a simple clarifying question I simply could not connect with a human being in any form phone in person dealership or even website messaging I have become extraordinarily frustrated making multiple attempts to call Tesla going through a series of extended prompts before the line hung up after a message that the Tesla phone system was down If you cannot get someone on the phone to buy a new car imagine how hard it will be in the future to find help when something goes wrong I also cannot find any form to share my feedback directly with Tesla further damaging goodwill I have gone from an advocate influencing many Tesla purchases to now the opposite I advise all of my friends and contacts be very careful before considering buying a Tesla,1,2024-05-23,-0.049075126262626265,-0.9265
ricardodj,Negative en base a los comenterios,,3,2024-09-10,0.0,0.0
Andrew,Birmingham UK Was slow to respond but,Birmingham UK Was slow to respond but good in end,3,2024-06-29,0.19999999999999996,0.5927
KALAISELVI MUDALIAR,Tesla s Shocking Lack of Customer Service A Total Disappointment,As a Tesla owner I expected the company s service to match the prestige of its brand Unfortunately my experience with Tesla's customer service has been nothing short of appalling The level of indifference and disregard for customer concerns is astonishing for a company of this stature From the very beginning Tesla s service team has failed to address my concerns with any seriousness Despite my repeated efforts to escalate my issue regarding the poor service quality I have been met with nothing but dismissive and unhelpful responses Most notably the attitude of Tesla s Customer Business Resolutions Partner was shockingly bad They displayed no willingness to listen to or understand the problem I raised Instead of acknowledging my concerns they seemed more interested in deflecting the issue entirely making the interaction frustrating and stressful I have tried to make it clear that my concerns revolve around the substandard level of service provided by Tesla but instead of addressing the root of the problem they diverted the conversation toward irrelevant matters such as my finance provider Black Horse Finance which has absolutely no bearing on my complaint It s alarming that a company that prides itself on innovation and excellence allows such a poor level of customer interaction Tesla s inability to listen coupled with the rude and dismissive attitude of their staff shows a complete lack of respect for their customers The entire experience has been frustrating and disappointing with no meaningful resolution in sight Tesla needs to drastically rethink how they handle customer service and ensure their staff are trained to listen and respond to genuine concerns as this is completely unacceptable If this is the standard of service Tesla is offering I will seriously reconsider my future with the brand I strongly urge the ownership and leadership of Tesla in the USA particularly Elon Musk to take a closer look at the feedback coming from UK customers The current state of customer service in the UK does not align with Tesla s global reputation and it desperately needs intervention from the top Until Tesla takes responsibility and drastically improves their service standards I cannot in good faith recommend the brand to others I will also be reconsidering my future with Tesla if these issues persist,1,2024-09-16,-0.04767441860465116,-0.9905
Adam,Elon lowered the price,Elon lowered the price My model 3 is 10K upside down Musk is spouting racist right wing BS I have to get out of Tesla What an a hole F u Elon,1,2024-05-02,0.06507936507936507,-0.6705
Waleed,Stay away,Would never recommend a Tesla to anyone and will never consider it in future please stay away I had an accident and damaged a door panel which has to be replaced because Tesla body parts can't be pulled even if it is a simple dent I have been waiting for the door panel to arrive to my Garage for more than 4 months now with no luck or even a date I have heard endless horror stories of cars breaking down and spare parts never arrive my garage has some Tesla cars waiting for some parts more than 9 months Tesla have this issue for years now so apparently they are not bothered to address it as long as they are selling their cars you will get ZERO after sale service,1,2024-06-24,0.08993055555555556,-0.8758
